Id,SalePrice
1461,123662.20870098681
1462,167011.92015207396
1463,187749.17866337602
1464,199646.21575854707
1465,185515.37663917005
1466,173935.57890370354
1467,178692.81974476427
1468,171070.2508291152
1469,179453.7726464527
1470,128106.44322681952
1471,186644.9219058034
1472,94458.31571500453
1473,100594.59962292764
1474,156544.19202794693
1475,123148.3326093218
1476,375957.54775784566
1477,252958.64947766755
1478,280454.91126056475
1479,246103.3154485736
1480,474039.11182261555
1481,348196.0923918531
1482,203258.36433324986
1483,168090.36867075707
1484,162749.63106275513
1485,189021.18090829355
1486,197972.76654107802
1487,336303.9478892118
1488,223483.28739007263
1489,195830.16467835775
1490,219495.33739840353
1491,189176.44129795925
1492,84379.30533530879
1493,183458.0757681898
1494,282734.59761597787
1495,291793.2140170748
1496,235746.84673645295
1497,178666.30829584916
1498,171738.2048646967
1499,165014.10084280468
1500,150716.00230573383
1501,174742.21557337194
1502,149878.27813569357
1503,301544.34076494275
1504,237460.9610645862
1505,230789.21297422587
1506,182244.19650491636
1507,241461.0465715245
1508,203435.22836610363
1509,163839.12903120831
1510,149721.46093710887
1511,146309.10171806338
1512,166816.9230498354
1513,136500.5832531184
1514,170370.2195664928
1515,187732.1321940473
1516,151161.81010218323
1517,159379.07972045045
1518,125005.95228780895
1519,224757.6826638649
1520,135659.74445598474
1521,135058.7577576553
1522,165340.08513402118
1523,115671.96311023452
1524,124738.91080737222
1525,120087.71786351301
1526,115567.59268843161
1527,98279.32210143829
1528,131643.8834727791
1529,156301.7547012379
1530,178268.6554688662
1531,100056.20690960594
1532,99452.7068159046
1533,146824.04105792486
1534,118026.99396663229
1535,150256.10046214462
1536,111122.5023428336
1537,60497.22739295051
1538,157330.89581991627
1539,181023.81567955506
1540,90952.74265886942
1541,140272.41760939456
1542,144482.63353994256
1543,226148.49523410466
1544,73446.08606475333
1545,110665.32954289626
1546,134182.95320589506
1547,137531.06735161445
1548,140988.46639293825
1549,116373.68557692866
1550,142800.31858951252
1551,109288.69032127483
1552,133795.46843510045
1553,142984.11626257145
1554,108822.407615544
1555,164682.01353646533
1556,83683.74973845978
1557,112802.85920917179
1558,91809.1077865499
1559,86127.90791909093
1560,135756.796786867
1561,146200.2696237947
1562,124923.60204148521
1563,120491.00419807437
1564,158850.60805935462
1565,142643.07280853437
1566,232984.29798513593
1567,70243.44044098319
1568,235692.9670993963
1569,151424.01059361733
1570,131764.82648452377
1571,105500.39649283106
1572,147192.45284741992
1573,234323.0446513706
1574,111865.41111890193
1575,211509.73072324696
1576,237074.42564828895
1577,185133.98753146766
1578,139054.239581359
1579,146547.2282691573
1580,189525.99609580226
1581,145756.06737259246
1582,134990.0466825122
1583,341399.1575786568
1584,232198.41985023356
1585,145550.61837575375
1586,68624.23891063606
1587,101480.38225498985
1588,151000.3959198063
1589,94794.76094971747
1590,135807.03682066
1591,98572.32990737216
1592,121614.1447497756
1593,132893.61054174424
1594,135342.627226533
1595,113699.17795468707
1596,251457.6099273539
1597,192035.83062801624
1598,213406.75928358844
1599,157092.48617965242
1600,149318.0649992475
1601,59863.89530535175
1602,107838.11918830918
1603,84790.29599821413
1604,269223.9092756965
1605,240532.95252924523
1606,172390.50495831494
1607,154590.09928794715
1608,211599.89355052836
1609,177229.52706456272
1610,158659.78799075133
1611,134733.36860275964
1612,157925.71544880053
1613,161183.234487726
1614,130959.45114667367
1615,88024.58213895334
1616,72195.04555685502
